source_file,error_category,line_number,column_number,error_type,error_message,full_output
invalid_decl_1.cpp,Invalid Syntax in Declarations,6,5,error,'intger' was not declared in this scope,"sample_programs\invalid_decl_1.cpp: In function 'int main()':
sample_programs\invalid_decl_1.cpp:6:5: error: 'intger' was not declared in this scope
     intger x = 5;  // Typo: 'intger' instead of 'int'
     ^~~~~~
sample_programs\invalid_decl_1.cpp:7:13: error: 'x' was not declared in this scope
     cout << x << endl;
             ^
"
invalid_decl_1.cpp,Invalid Syntax in Declarations,7,13,error,'x' was not declared in this scope,"sample_programs\invalid_decl_1.cpp: In function 'int main()':
sample_programs\invalid_decl_1.cpp:6:5: error: 'intger' was not declared in this scope
     intger x = 5;  // Typo: 'intger' instead of 'int'
     ^~~~~~
sample_programs\invalid_decl_1.cpp:7:13: error: 'x' was not declared in this scope
     cout << x << endl;
             ^
"
invalid_decl_10.cpp,Invalid Syntax in Declarations,6,11,error,duplicate 'short',"sample_programs\invalid_decl_10.cpp: In function 'int main()':
sample_programs\invalid_decl_10.cpp:6:11: error: duplicate 'short'
     short short int x = 5;  // Duplicate 'short'
           ^~~~~
"
invalid_decl_11.cpp,Invalid Syntax in Declarations,6,5,error,'chr' was not declared in this scope,"sample_programs\invalid_decl_11.cpp: In function 'int main()':
sample_programs\invalid_decl_11.cpp:6:5: error: 'chr' was not declared in this scope
     chr character = 'Z';  // Typo: 'chr' instead of 'char'
     ^~~
sample_programs\invalid_decl_11.cpp:7:13: error: 'character' was not declared in this scope
     cout << character << endl;
             ^~~~~~~~~
"
invalid_decl_11.cpp,Invalid Syntax in Declarations,7,13,error,'character' was not declared in this scope,"sample_programs\invalid_decl_11.cpp: In function 'int main()':
sample_programs\invalid_decl_11.cpp:6:5: error: 'chr' was not declared in this scope
     chr character = 'Z';  // Typo: 'chr' instead of 'char'
     ^~~
sample_programs\invalid_decl_11.cpp:7:13: error: 'character' was not declared in this scope
     cout << character << endl;
             ^~~~~~~~~
"
invalid_decl_12.cpp,Invalid Syntax in Declarations,6,5,error,'cosnt' was not declared in this scope,"sample_programs\invalid_decl_12.cpp: In function 'int main()':
sample_programs\invalid_decl_12.cpp:6:5: error: 'cosnt' was not declared in this scope
     cosnt int MAX = 100;  // Typo: 'cosnt' instead of 'const'
     ^~~~~
sample_programs\invalid_decl_12.cpp:7:13: error: 'MAX' was not declared in this scope
     cout << MAX << endl;
             ^~~
"
invalid_decl_12.cpp,Invalid Syntax in Declarations,7,13,error,'MAX' was not declared in this scope,"sample_programs\invalid_decl_12.cpp: In function 'int main()':
sample_programs\invalid_decl_12.cpp:6:5: error: 'cosnt' was not declared in this scope
     cosnt int MAX = 100;  // Typo: 'cosnt' instead of 'const'
     ^~~~~
sample_programs\invalid_decl_12.cpp:7:13: error: 'MAX' was not declared in this scope
     cout << MAX << endl;
             ^~~
"
invalid_decl_13.cpp,Invalid Syntax in Declarations,6,5,error,'unsignd' was not declared in this scope,"sample_programs\invalid_decl_13.cpp: In function 'int main()':
sample_programs\invalid_decl_13.cpp:6:5: error: 'unsignd' was not declared in this scope
     unsignd int positive = 50;  // Typo: 'unsignd' instead of 'unsigned'
     ^~~~~~~
sample_programs\invalid_decl_13.cpp:7:13: error: 'positive' was not declared in this scope
     cout << positive << endl;
             ^~~~~~~~
"
invalid_decl_13.cpp,Invalid Syntax in Declarations,7,13,error,'positive' was not declared in this scope,"sample_programs\invalid_decl_13.cpp: In function 'int main()':
sample_programs\invalid_decl_13.cpp:6:5: error: 'unsignd' was not declared in this scope
     unsignd int positive = 50;  // Typo: 'unsignd' instead of 'unsigned'
     ^~~~~~~
sample_programs\invalid_decl_13.cpp:7:13: error: 'positive' was not declared in this scope
     cout << positive << endl;
             ^~~~~~~~
"
invalid_decl_2.cpp,Invalid Syntax in Declarations,6,5,error,'flaot' was not declared in this scope,"sample_programs\invalid_decl_2.cpp: In function 'int main()':
sample_programs\invalid_decl_2.cpp:6:5: error: 'flaot' was not declared in this scope
     flaot price = 99.99;  // Typo: 'flaot' instead of 'float'
     ^~~~~
sample_programs\invalid_decl_2.cpp:7:13: error: 'price' was not declared in this scope
     cout << price << endl;
             ^~~~~
"
invalid_decl_2.cpp,Invalid Syntax in Declarations,7,13,error,'price' was not declared in this scope,"sample_programs\invalid_decl_2.cpp: In function 'int main()':
sample_programs\invalid_decl_2.cpp:6:5: error: 'flaot' was not declared in this scope
     flaot price = 99.99;  // Typo: 'flaot' instead of 'float'
     ^~~~~
sample_programs\invalid_decl_2.cpp:7:13: error: 'price' was not declared in this scope
     cout << price << endl;
             ^~~~~
"
invalid_decl_3.cpp,Invalid Syntax in Declarations,6,5,error,'doubel' was not declared in this scope,"sample_programs\invalid_decl_3.cpp: In function 'int main()':
sample_programs\invalid_decl_3.cpp:6:5: error: 'doubel' was not declared in this scope
     doubel pi = 3.14159;  // Typo: 'doubel' instead of 'double'
     ^~~~~~
sample_programs\invalid_decl_3.cpp:7:13: error: 'pi' was not declared in this scope
     cout << pi << endl;
             ^~
"
invalid_decl_3.cpp,Invalid Syntax in Declarations,7,13,error,'pi' was not declared in this scope,"sample_programs\invalid_decl_3.cpp: In function 'int main()':
sample_programs\invalid_decl_3.cpp:6:5: error: 'doubel' was not declared in this scope
     doubel pi = 3.14159;  // Typo: 'doubel' instead of 'double'
     ^~~~~~
sample_programs\invalid_decl_3.cpp:7:13: error: 'pi' was not declared in this scope
     cout << pi << endl;
             ^~
"
invalid_decl_4.cpp,Invalid Syntax in Declarations,8,15,error,two or more data types in declaration of 'x',"sample_programs\invalid_decl_4.cpp: In function 'int main()':
sample_programs\invalid_decl_4.cpp:8:15: error: two or more data types in declaration of 'x'
     int float x = 10;
               ^
sample_programs\invalid_decl_4.cpp:9:13: error: 'x' was not declared in this scope
     cout << x << endl;
             ^
"
invalid_decl_4.cpp,Invalid Syntax in Declarations,9,13,error,'x' was not declared in this scope,"sample_programs\invalid_decl_4.cpp: In function 'int main()':
sample_programs\invalid_decl_4.cpp:8:15: error: two or more data types in declaration of 'x'
     int float x = 10;
               ^
sample_programs\invalid_decl_4.cpp:9:13: error: 'x' was not declared in this scope
     cout << x << endl;
             ^
"
invalid_decl_5.cpp,Invalid Syntax in Declarations,6,5,error,'boool' was not declared in this scope,"sample_programs\invalid_decl_5.cpp: In function 'int main()':
sample_programs\invalid_decl_5.cpp:6:5: error: 'boool' was not declared in this scope
     boool flag = true;  // Typo: 'boool' instead of 'bool'
     ^~~~~
sample_programs\invalid_decl_5.cpp:7:13: error: 'flag' was not declared in this scope
     cout << flag << endl;
             ^~~~
"
invalid_decl_5.cpp,Invalid Syntax in Declarations,7,13,error,'flag' was not declared in this scope,"sample_programs\invalid_decl_5.cpp: In function 'int main()':
sample_programs\invalid_decl_5.cpp:6:5: error: 'boool' was not declared in this scope
     boool flag = true;  // Typo: 'boool' instead of 'bool'
     ^~~~~
sample_programs\invalid_decl_5.cpp:7:13: error: 'flag' was not declared in this scope
     cout << flag << endl;
             ^~~~
"
invalid_decl_6.cpp,Invalid Syntax in Declarations,6,5,error,'stirng' was not declared in this scope,"sample_programs\invalid_decl_6.cpp: In function 'int main()':
sample_programs\invalid_decl_6.cpp:6:5: error: 'stirng' was not declared in this scope
     stirng name = ""Alice"";  // Typo: 'stirng' instead of 'string'
     ^~~~~~
sample_programs\invalid_decl_6.cpp:7:13: error: 'name' was not declared in this scope
     cout << name << endl;
             ^~~~
"
invalid_decl_6.cpp,Invalid Syntax in Declarations,7,13,error,'name' was not declared in this scope,"sample_programs\invalid_decl_6.cpp: In function 'int main()':
sample_programs\invalid_decl_6.cpp:6:5: error: 'stirng' was not declared in this scope
     stirng name = ""Alice"";  // Typo: 'stirng' instead of 'string'
     ^~~~~~
sample_programs\invalid_decl_6.cpp:7:13: error: 'name' was not declared in this scope
     cout << name << endl;
             ^~~~
"
invalid_decl_7.cpp,Invalid Syntax in Declarations,6,5,error,'Int' was not declared in this scope,"sample_programs\invalid_decl_7.cpp: In function 'int main()':
sample_programs\invalid_decl_7.cpp:6:5: error: 'Int' was not declared in this scope
     Int x = 100;  // Wrong case: 'Int' instead of 'int'
     ^~~
sample_programs\invalid_decl_7.cpp:7:13: error: 'x' was not declared in this scope
     cout << x << endl;
             ^
"
invalid_decl_7.cpp,Invalid Syntax in Declarations,7,13,error,'x' was not declared in this scope,"sample_programs\invalid_decl_7.cpp: In function 'int main()':
sample_programs\invalid_decl_7.cpp:6:5: error: 'Int' was not declared in this scope
     Int x = 100;  // Wrong case: 'Int' instead of 'int'
     ^~~
sample_programs\invalid_decl_7.cpp:7:13: error: 'x' was not declared in this scope
     cout << x << endl;
             ^
"
invalid_decl_8.cpp,Invalid Syntax in Declarations,6,14,error,expected initializer before 'num',"sample_programs\invalid_decl_8.cpp: In function 'int main()':
sample_programs\invalid_decl_8.cpp:6:14: error: expected initializer before 'num'
     long lon num = 9999999;  // Typo: 'lon' instead of 'long'
              ^~~
sample_programs\invalid_decl_8.cpp:7:13: error: 'num' was not declared in this scope
     cout << num << endl;
             ^~~
"
invalid_decl_8.cpp,Invalid Syntax in Declarations,7,13,error,'num' was not declared in this scope,"sample_programs\invalid_decl_8.cpp: In function 'int main()':
sample_programs\invalid_decl_8.cpp:6:14: error: expected initializer before 'num'
     long lon num = 9999999;  // Typo: 'lon' instead of 'long'
              ^~~
sample_programs\invalid_decl_8.cpp:7:13: error: 'num' was not declared in this scope
     cout << num << endl;
             ^~~
"
invalid_decl_9.cpp,Invalid Syntax in Declarations,6,22,error,two or more data types in declaration of 'x',"sample_programs\invalid_decl_9.cpp: In function 'int main()':
sample_programs\invalid_decl_9.cpp:6:22: error: two or more data types in declaration of 'x'
     unsigned int int x = 10;  // Duplicate 'int'
                      ^
sample_programs\invalid_decl_9.cpp:7:13: error: 'x' was not declared in this scope
     cout << x << endl;
             ^
"
invalid_decl_9.cpp,Invalid Syntax in Declarations,7,13,error,'x' was not declared in this scope,"sample_programs\invalid_decl_9.cpp: In function 'int main()':
sample_programs\invalid_decl_9.cpp:6:22: error: two or more data types in declaration of 'x'
     unsigned int int x = 10;  // Duplicate 'int'
                      ^
sample_programs\invalid_decl_9.cpp:7:13: error: 'x' was not declared in this scope
     cout << x << endl;
             ^
"
missing_header_1.cpp,Missing Header Include,6,5,error,'cout' was not declared in this scope,"sample_programs\missing_header_1.cpp: In function 'int main()':
sample_programs\missing_header_1.cpp:6:5: error: 'cout' was not declared in this scope
     cout << ""Hello World"" << endl;  // cout not declared
     ^~~~
sample_programs\missing_header_1.cpp:6:30: error: 'endl' was not declared in this scope
     cout << ""Hello World"" << endl;  // cout not declared
                              ^~~~
"
missing_header_1.cpp,Missing Header Include,6,30,error,'endl' was not declared in this scope,"sample_programs\missing_header_1.cpp: In function 'int main()':
sample_programs\missing_header_1.cpp:6:5: error: 'cout' was not declared in this scope
     cout << ""Hello World"" << endl;  // cout not declared
     ^~~~
sample_programs\missing_header_1.cpp:6:30: error: 'endl' was not declared in this scope
     cout << ""Hello World"" << endl;  // cout not declared
                              ^~~~
"
missing_header_10.cpp,Missing Header Include,7,18,error,variable 'std::ofstream file' has initializer but incomplete type,"sample_programs\missing_header_10.cpp: In function 'int main()':
sample_programs\missing_header_10.cpp:7:18: error: variable 'std::ofstream file' has initializer but incomplete type
     ofstream file(""test.txt"");  // ofstream not declared
                  ^
"
missing_header_11.cpp,Missing Header Include,7,29,error,'pow' was not declared in this scope,"sample_programs\missing_header_11.cpp: In function 'int main()':
sample_programs\missing_header_11.cpp:7:29: error: 'pow' was not declared in this scope
     double result = pow(2, 3);  // pow not declared
                             ^
"
missing_header_13.cpp,Missing Header Include,7,18,error,'numeric_limits' was not declared in this scope,"sample_programs\missing_header_13.cpp: In function 'int main()':
sample_programs\missing_header_13.cpp:7:18: error: 'numeric_limits' was not declared in this scope
     int maxInt = numeric_limits<int>::max();  // numeric_limits not declared
                  ^~~~~~~~~~~~~~
sample_programs\missing_header_13.cpp:7:33: error: expected primary-expression before 'int'
     int maxInt = numeric_limits<int>::max();  // numeric_limits not declared
                                 ^~~
"
missing_header_13.cpp,Missing Header Include,7,33,error,expected primary-expression before 'int',"sample_programs\missing_header_13.cpp: In function 'int main()':
sample_programs\missing_header_13.cpp:7:18: error: 'numeric_limits' was not declared in this scope
     int maxInt = numeric_limits<int>::max();  // numeric_limits not declared
                  ^~~~~~~~~~~~~~
sample_programs\missing_header_13.cpp:7:33: error: expected primary-expression before 'int'
     int maxInt = numeric_limits<int>::max();  // numeric_limits not declared
                                 ^~~
"
missing_header_14.cpp,Missing Header Include,7,5,error,'map' was not declared in this scope,"sample_programs\missing_header_14.cpp: In function 'int main()':
sample_programs\missing_header_14.cpp:7:5: error: 'map' was not declared in this scope
     map<string, int> ages;  // map not declared
     ^~~
sample_programs\missing_header_14.cpp:7:15: error: expected primary-expression before ',' token
     map<string, int> ages;  // map not declared
               ^
sample_programs\missing_header_14.cpp:7:17: error: expected primary-expression before 'int'
     map<string, int> ages;  // map not declared
                 ^~~
sample_programs\missing_header_14.cpp:8:5: error: 'ages' was not declared in this scope
     ages[""Alice""] = 25;
     ^~~~
"
missing_header_14.cpp,Missing Header Include,7,15,error,"expected primary-expression before ',' token","sample_programs\missing_header_14.cpp: In function 'int main()':
sample_programs\missing_header_14.cpp:7:5: error: 'map' was not declared in this scope
     map<string, int> ages;  // map not declared
     ^~~
sample_programs\missing_header_14.cpp:7:15: error: expected primary-expression before ',' token
     map<string, int> ages;  // map not declared
               ^
sample_programs\missing_header_14.cpp:7:17: error: expected primary-expression before 'int'
     map<string, int> ages;  // map not declared
                 ^~~
sample_programs\missing_header_14.cpp:8:5: error: 'ages' was not declared in this scope
     ages[""Alice""] = 25;
     ^~~~
"
missing_header_14.cpp,Missing Header Include,7,17,error,expected primary-expression before 'int',"sample_programs\missing_header_14.cpp: In function 'int main()':
sample_programs\missing_header_14.cpp:7:5: error: 'map' was not declared in this scope
     map<string, int> ages;  // map not declared
     ^~~
sample_programs\missing_header_14.cpp:7:15: error: expected primary-expression before ',' token
     map<string, int> ages;  // map not declared
               ^
sample_programs\missing_header_14.cpp:7:17: error: expected primary-expression before 'int'
     map<string, int> ages;  // map not declared
                 ^~~
sample_programs\missing_header_14.cpp:8:5: error: 'ages' was not declared in this scope
     ages[""Alice""] = 25;
     ^~~~
"
missing_header_14.cpp,Missing Header Include,8,5,error,'ages' was not declared in this scope,"sample_programs\missing_header_14.cpp: In function 'int main()':
sample_programs\missing_header_14.cpp:7:5: error: 'map' was not declared in this scope
     map<string, int> ages;  // map not declared
     ^~~
sample_programs\missing_header_14.cpp:7:15: error: expected primary-expression before ',' token
     map<string, int> ages;  // map not declared
               ^
sample_programs\missing_header_14.cpp:7:17: error: expected primary-expression before 'int'
     map<string, int> ages;  // map not declared
                 ^~~
sample_programs\missing_header_14.cpp:8:5: error: 'ages' was not declared in this scope
     ages[""Alice""] = 25;
     ^~~~
"
missing_header_2.cpp,Missing Header Include,7,28,error,'sqrt' was not declared in this scope,"sample_programs\missing_header_2.cpp: In function 'int main()':
sample_programs\missing_header_2.cpp:7:28: error: 'sqrt' was not declared in this scope
     double result = sqrt(16);  // sqrt not declared
                            ^
"
missing_header_4.cpp,Missing Header Include,7,5,error,'vector' was not declared in this scope,"sample_programs\missing_header_4.cpp: In function 'int main()':
sample_programs\missing_header_4.cpp:7:5: error: 'vector' was not declared in this scope
     vector<int> nums;  // vector not declared
     ^~~~~~
sample_programs\missing_header_4.cpp:7:12: error: expected primary-expression before 'int'
     vector<int> nums;  // vector not declared
            ^~~
sample_programs\missing_header_4.cpp:8:5: error: 'nums' was not declared in this scope
     nums.push_back(10);
     ^~~~
"
missing_header_4.cpp,Missing Header Include,7,12,error,expected primary-expression before 'int',"sample_programs\missing_header_4.cpp: In function 'int main()':
sample_programs\missing_header_4.cpp:7:5: error: 'vector' was not declared in this scope
     vector<int> nums;  // vector not declared
     ^~~~~~
sample_programs\missing_header_4.cpp:7:12: error: expected primary-expression before 'int'
     vector<int> nums;  // vector not declared
            ^~~
sample_programs\missing_header_4.cpp:8:5: error: 'nums' was not declared in this scope
     nums.push_back(10);
     ^~~~
"
missing_header_4.cpp,Missing Header Include,8,5,error,'nums' was not declared in this scope,"sample_programs\missing_header_4.cpp: In function 'int main()':
sample_programs\missing_header_4.cpp:7:5: error: 'vector' was not declared in this scope
     vector<int> nums;  // vector not declared
     ^~~~~~
sample_programs\missing_header_4.cpp:7:12: error: expected primary-expression before 'int'
     vector<int> nums;  // vector not declared
            ^~~
sample_programs\missing_header_4.cpp:8:5: error: 'nums' was not declared in this scope
     nums.push_back(10);
     ^~~~
"
missing_header_6.cpp,Missing Header Include,9,22,error,'strcpy' was not declared in this scope,"sample_programs\missing_header_6.cpp: In function 'int main()':
sample_programs\missing_header_6.cpp:9:22: error: 'strcpy' was not declared in this scope
     strcpy(str2, str1);  // strcpy not declared
                      ^
"
missing_header_7.cpp,Missing Header Include,7,24,error,'time' was not declared in this scope,"sample_programs\missing_header_7.cpp: In function 'int main()':
sample_programs\missing_header_7.cpp:7:24: error: 'time' was not declared in this scope
     time_t now = time(0);  // time not declared
                        ^
"
missing_header_8.cpp,Missing Header Include,9,34,error,'sort' was not declared in this scope,"sample_programs\missing_header_8.cpp: In function 'int main()':
sample_programs\missing_header_8.cpp:9:34: error: 'sort' was not declared in this scope
     sort(nums.begin(), nums.end());  // sort not declared
                                  ^
"
missing_header_9.cpp,Missing Header Include,8,27,error,'setprecision' was not declared in this scope,"sample_programs\missing_header_9.cpp: In function 'int main()':
sample_programs\missing_header_9.cpp:8:27: error: 'setprecision' was not declared in this scope
     cout << setprecision(2) << pi << endl;  // setprecision not declared
                           ^
"
missing_semicolon_1.cpp,Missing Semicolon,7,5,error,"expected ',' or ';' before 'cout'","sample_programs\missing_semicolon_1.cpp: In function 'int main()':
sample_programs\missing_semicolon_1.cpp:7:5: error: expected ',' or ';' before 'cout'
     cout << ""Value: "" << x << endl;
     ^~~~
"
missing_semicolon_10.cpp,Missing Semicolon,7,5,error,"expected ',' or ';' before 'cout'","sample_programs\missing_semicolon_10.cpp: In function 'int main()':
sample_programs\missing_semicolon_10.cpp:7:5: error: expected ',' or ';' before 'cout'
     cout << x + y + z << endl;
     ^~~~
"
missing_semicolon_11.cpp,Missing Semicolon,7,5,error,"expected ',' or ';' before 'while'","sample_programs\missing_semicolon_11.cpp: In function 'int main()':
sample_programs\missing_semicolon_11.cpp:7:5: error: expected ',' or ';' before 'while'
     while(count < 3) {
     ^~~~~
"
missing_semicolon_12.cpp,Missing Semicolon,7,5,error,"expected ',' or ';' before 'int'","sample_programs\missing_semicolon_12.cpp: In function 'int main()':
sample_programs\missing_semicolon_12.cpp:7:5: error: expected ',' or ';' before 'int'
     int value = 42;
     ^~~
sample_programs\missing_semicolon_12.cpp:8:12: error: 'value' was not declared in this scope
     ptr = &value;
            ^~~~~
"
missing_semicolon_12.cpp,Missing Semicolon,8,12,error,'value' was not declared in this scope,"sample_programs\missing_semicolon_12.cpp: In function 'int main()':
sample_programs\missing_semicolon_12.cpp:7:5: error: expected ',' or ';' before 'int'
     int value = 42;
     ^~~
sample_programs\missing_semicolon_12.cpp:8:12: error: 'value' was not declared in this scope
     ptr = &value;
            ^~~~~
"
missing_semicolon_13.cpp,Missing Semicolon,7,5,error,"expected ',' or ';' before 'cout'","sample_programs\missing_semicolon_13.cpp: In function 'int main()':
sample_programs\missing_semicolon_13.cpp:7:5: error: expected ',' or ';' before 'cout'
     cout << ""Max value: "" << MAX << endl;
     ^~~~
"
missing_semicolon_14.cpp,Missing Semicolon,7,5,error,"expected ',' or ';' before 'cout'","sample_programs\missing_semicolon_14.cpp: In function 'int main()':
sample_programs\missing_semicolon_14.cpp:7:5: error: expected ',' or ';' before 'cout'
     cout << bigNum << endl;
     ^~~~
"
missing_semicolon_15.cpp,Missing Semicolon,7,5,error,"expected ',' or ';' before 'cout'","sample_programs\missing_semicolon_15.cpp: In function 'int main()':
sample_programs\missing_semicolon_15.cpp:7:5: error: expected ',' or ';' before 'cout'
     cout << ""Positive: "" << positive << endl;
     ^~~~
"
missing_semicolon_2.cpp,Missing Semicolon,8,5,error,"expected ',' or ';' before 'int'","sample_programs\missing_semicolon_2.cpp: In function 'int main()':
sample_programs\missing_semicolon_2.cpp:8:5: error: expected ',' or ';' before 'int'
     int c = a + b;
     ^~~
sample_programs\missing_semicolon_2.cpp:9:13: error: 'c' was not declared in this scope
     cout << c << endl;
             ^
"
missing_semicolon_2.cpp,Missing Semicolon,9,13,error,'c' was not declared in this scope,"sample_programs\missing_semicolon_2.cpp: In function 'int main()':
sample_programs\missing_semicolon_2.cpp:8:5: error: expected ',' or ';' before 'int'
     int c = a + b;
     ^~~
sample_programs\missing_semicolon_2.cpp:9:13: error: 'c' was not declared in this scope
     cout << c << endl;
             ^
"
missing_semicolon_3.cpp,Missing Semicolon,7,5,error,"expected ',' or ';' before 'float'","sample_programs\missing_semicolon_3.cpp: In function 'int main()':
sample_programs\missing_semicolon_3.cpp:7:5: error: expected ',' or ';' before 'float'
     float tax = price * 0.1;
     ^~~~~
sample_programs\missing_semicolon_3.cpp:8:34: error: 'tax' was not declared in this scope
     cout << ""Total: "" << price + tax << endl;
                                  ^~~
"
missing_semicolon_3.cpp,Missing Semicolon,8,34,error,'tax' was not declared in this scope,"sample_programs\missing_semicolon_3.cpp: In function 'int main()':
sample_programs\missing_semicolon_3.cpp:7:5: error: expected ',' or ';' before 'float'
     float tax = price * 0.1;
     ^~~~~
sample_programs\missing_semicolon_3.cpp:8:34: error: 'tax' was not declared in this scope
     cout << ""Total: "" << price + tax << endl;
                                  ^~~
"
missing_semicolon_4.cpp,Missing Semicolon,7,5,error,"expected ',' or ';' before 'cout'","sample_programs\missing_semicolon_4.cpp: In function 'int main()':
sample_programs\missing_semicolon_4.cpp:7:5: error: expected ',' or ';' before 'cout'
     cout << ""Hello, "" << name << endl;
     ^~~~
"
missing_semicolon_5.cpp,Missing Semicolon,8,5,error,expected ';' before '}' token,"sample_programs\missing_semicolon_5.cpp: In function 'int main()':
sample_programs\missing_semicolon_5.cpp:8:5: error: expected ';' before '}' token
     }
     ^
"
missing_semicolon_6.cpp,Missing Semicolon,7,5,error,"expected ',' or ';' before 'cout'","sample_programs\missing_semicolon_6.cpp: In function 'int main()':
sample_programs\missing_semicolon_6.cpp:7:5: error: expected ',' or ';' before 'cout'
     cout << arr[0] << endl;
     ^~~~
"
missing_semicolon_7.cpp,Missing Semicolon,7,5,error,"expected ',' or ';' before 'if'","sample_programs\missing_semicolon_7.cpp: In function 'int main()':
sample_programs\missing_semicolon_7.cpp:7:5: error: expected ',' or ';' before 'if'
     if(flag) {
     ^~
"
missing_semicolon_8.cpp,Missing Semicolon,7,5,error,"expected ',' or ';' before 'cout'","sample_programs\missing_semicolon_8.cpp: In function 'int main()':
sample_programs\missing_semicolon_8.cpp:7:5: error: expected ',' or ';' before 'cout'
     cout << ""Grade: "" << grade << endl;
     ^~~~
"
missing_semicolon_9.cpp,Missing Semicolon,7,5,error,"expected ',' or ';' before 'double'","sample_programs\missing_semicolon_9.cpp: In function 'int main()':
sample_programs\missing_semicolon_9.cpp:7:5: error: expected ',' or ';' before 'double'
     double radius = 5.0;
     ^~~~~~
sample_programs\missing_semicolon_9.cpp:8:30: error: 'radius' was not declared in this scope
     cout << ""Area: "" << pi * radius * radius << endl;
                              ^~~~~~
"
missing_semicolon_9.cpp,Missing Semicolon,8,30,error,'radius' was not declared in this scope,"sample_programs\missing_semicolon_9.cpp: In function 'int main()':
sample_programs\missing_semicolon_9.cpp:7:5: error: expected ',' or ';' before 'double'
     double radius = 5.0;
     ^~~~~~
sample_programs\missing_semicolon_9.cpp:8:30: error: 'radius' was not declared in this scope
     cout << ""Area: "" << pi * radius * radius << endl;
                              ^~~~~~
"
